"WBXF055.Code.or.Value","WBXF055.Value.Description","WBXF055.Count","WBXF055.Cumulative","WBXF055.Skip.to.Item"
"1781.7974 to 1781.7974","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
