"DR1TS040.Code.or.Value","DR1TS040.Value.Description","DR1TS040.Count","DR1TS040.Cumulative","DR1TS040.Skip.to.Item"
"0 to 5.377","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
