"DCQ160.Code.or.Value","DCQ160.Value.Description","DCQ160.Count","DCQ160.Cumulative","DCQ160.Skip.to.Item"
"1","Smooth and Cleanable",216,216,NA
"2","Not Smooth and Cleanable",9,225,NA
"3","Carpet",59,284,NA
".","Missing",801,1085,NA
