"DR1IS060.Code.or.Value","DR1IS060.Value.Description","DR1IS060.Count","DR1IS060.Cumulative","DR1IS060.Skip.to.Item"
"0 to 1.933","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
