"RFXC158.Code.or.Value","RFXC158.Value.Description","RFXC158.Count","RFXC158.Cumulative","RFXC158.Skip.to.Item"
"-7.577 to 7.797","Range of Values",51051,51051,NA
".","Missing",25,51076,NA
