"DRD370C.Code.or.Value","DRD370C.Value.Description","DRD370C.Count","DRD370C.Cumulative","DRD370C.Skip.to.Item"
"1","Yes",126,126,""
"2","No",5445,5571,"DRD370D"
".","Missing",4379,9950,""
