"DRD370H.Code.or.Value","DRD370H.Value.Description","DRD370H.Count","DRD370H.Cumulative","DRD370H.Skip.to.Item"
"1","Yes",21,21,""
"2","No",2006,2027,"DRD370I"
".","Missing",8450,10477,""
