"BPXML1.Code.or.Value","BPXML1.Value.Description","BPXML1.Count","BPXML1.Cumulative","BPXML1.Skip.to.Item"
"110 to 290","Range of Values",7277,7277,NA
"888","Could not obtain",0,7277,NA
".","Missing",2366,9643,NA
