"BIXS005K.Code.or.Value","BIXS005K.Value.Description","BIXS005K.Count","BIXS005K.Cumulative","BIXS005K.Skip.to.Item"
"291.69 to 1057.68","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
