"DR2TFF.Code.or.Value","DR2TFF.Value.Description","DR2TFF.Count","DR2TFF.Cumulative","DR2TFF.Skip.to.Item"
"0 to 2877","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
