"DR1TKCAL.Code.or.Value","DR1TKCAL.Value.Description","DR1TKCAL.Count","DR1TKCAL.Cumulative","DR1TKCAL.Skip.to.Item"
"0 to 10126","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
