"DS1LOC.Code.or.Value","DS1LOC.Value.Description","DS1LOC.Count","DS1LOC.Cumulative","DS1LOC.Skip.to.Item"
"1","HouseHold Interview",3968,3968,NA
"2","MEC Interview",1726,5694,NA
"3","Phone Interview",0,5694,NA
".","Missing",0,5694,NA
