"SLD010H.Code.or.Value","SLD010H.Value.Description","SLD010H.Count","SLD010H.Cumulative","SLD010H.Skip.to.Item"
"1 to 11","Range of Values",6078,6078,NA
"12","12 hours or more",50,6128,NA
"77","Refused",1,6129,NA
"99","Don't know",10,6139,NA
".","Missing",0,6139,NA
