"SMD100BR.Code.or.Value","SMD100BR.Value.Description","SMD100BR.Count","SMD100BR.Cumulative","SMD100BR.Skip.to.Item"
"Cigarette Brand/sub-brand","Value was recorded",994,994,NA
"< blank >","Missing",3886,4880,NA
