"DR2BWATZ.Code.or.Value","DR2BWATZ.Value.Description","DR2BWATZ.Count","DR2BWATZ.Cumulative","DR2BWATZ.Skip.to.Item"
"0 to 10000","Range of Values",7605,7605,NA
".","Missing",1733,9338,NA
