"DS2TVB12.Code.or.Value","DS2TVB12.Value.Description","DS2TVB12.Count","DS2TVB12.Cumulative","DS2TVB12.Skip.to.Item"
"0.2 to 10000","Range of Values",1974,1974,NA
".","Missing",8279,10253,NA
