"SSTESTO.Code.or.Value","SSTESTO.Value.Description","SSTESTO.Count","SSTESTO.Cumulative","SSTESTO.Skip.to.Item"
"0.06 to 17.48","Range of Values",410,410,NA
".","Missing",4,414,NA
