"PAQ724ae.Code.or.Value","PAQ724ae.Value.Description","PAQ724ae.Count","PAQ724ae.Cumulative","PAQ724ae.Skip.to.Item"
"31","TRAMPOLINE",165,165,NA
".","Missing",9319,9484,NA
