"DR2IP184.Code.or.Value","DR2IP184.Value.Description","DR2IP184.Count","DR2IP184.Cumulative","DR2IP184.Skip.to.Item"
"0 to 0.977","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
