"RFXC022.Code.or.Value","RFXC022.Value.Description","RFXC022.Count","RFXC022.Cumulative","RFXC022.Skip.to.Item"
"-8.123 to 5.367","Range of Values",33710,33710,NA
".","Missing",11,33721,NA
