"DR1TPHOS.Code.or.Value","DR1TPHOS.Value.Description","DR1TPHOS.Count","DR1TPHOS.Cumulative","DR1TPHOS.Skip.to.Item"
"0 to 6026","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
