"DR1TM161.Code.or.Value","DR1TM161.Value.Description","DR1TM161.Count","DR1TM161.Cumulative","DR1TM161.Skip.to.Item"
"0 to 13.915","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
