"LBDSBUSI.Code.or.Value","LBDSBUSI.Value.Description","LBDSBUSI.Count","LBDSBUSI.Cumulative","LBDSBUSI.Skip.to.Item"
"0.36 to 32.13","Range of Values",6860,6860,NA
".","Missing",509,7369,NA
