"SMD100FL.Code.or.Value","SMD100FL.Value.Description","SMD100FL.Count","SMD100FL.Cumulative","SMD100FL.Skip.to.Item"
"0","Non-filter",24,24,NA
"1","Filter",1120,1144,NA
".","Missing",4267,5411,NA
