"WBXF050.Code.or.Value","WBXF050.Value.Description","WBXF050.Count","WBXF050.Cumulative","WBXF050.Skip.to.Item"
"1542.2108 to 1542.2108","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
