"RFXT114.Code.or.Value","RFXT114.Value.Description","RFXT114.Count","RFXT114.Cumulative","RFXT114.Skip.to.Item"
"990 to 999","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
