"MCQ180k.Code.or.Value","MCQ180k.Value.Description","MCQ180k.Count","MCQ180k.Cumulative","MCQ180k.Skip.to.Item"
"0 to 78","Range of Values",292,292,NA
"80","80 years or older",4,296,NA
"77777","Refused",0,296,NA
"99999","Don't know",8,304,NA
".","Missing",9271,9575,NA
