"PHQ040.Code.or.Value","PHQ040.Value.Description","PHQ040.Count","PHQ040.Cumulative","PHQ040.Skip.to.Item"
"1","Yes",221,221,NA
"2","No",8690,8911,NA
".","Missing",254,9165,NA
