"TYXP089.Code.or.Value","TYXP089.Value.Description","TYXP089.Count","TYXP089.Cumulative","TYXP089.Skip.to.Item"
"-244 to 98","Range of Values",8465,8465,NA
".","Missing",4,8469,NA
