"ORXH69.Code.or.Value","ORXH69.Value.Description","ORXH69.Count","ORXH69.Cumulative","ORXH69.Skip.to.Item"
"1","Positive",6,6,NA
"2","Negative",4718,4724,NA
"3","Not evaluated",333,5057,NA
".","Missing",0,5057,NA
