"LBD153LC.Code.or.Value","LBD153LC.Value.Description","LBD153LC.Count","LBD153LC.Cumulative","LBD153LC.Skip.to.Item"
"0","detectable result",1947,1947,NA
"1","below detectable limit",359,2306,NA
".","Missing",241,2547,NA
