"AUXROEXC.Code.or.Value","AUXROEXC.Value.Description","AUXROEXC.Count","AUXROEXC.Cumulative","AUXROEXC.Skip.to.Item"
"1","Yes (checkbox checked)",408,408,NA
"2","No (checkbox unchecked)",2381,2789,NA
".","Missing",245,3034,NA
