"DR1TMAGN.Code.or.Value","DR1TMAGN.Value.Description","DR1TMAGN.Count","DR1TMAGN.Cumulative","DR1TMAGN.Skip.to.Item"
"2 to 1773","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
