"DR1STY.Code.or.Value","DR1STY.Value.Description","DR1STY.Count","DR1STY.Cumulative","DR1STY.Skip.to.Item"
"1","Yes",1422,1422,""
"2","No",7131,8553,"DRQSDIET"
"9","Don't know",63,8616,"DRQSDIET"
".","Missing",928,9544,""
