"DR1TALCO.Code.or.Value","DR1TALCO.Value.Description","DR1TALCO.Count","DR1TALCO.Cumulative","DR1TALCO.Skip.to.Item"
"0 to 636.2","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
