"PFD069C.Code.or.Value","PFD069C.Value.Description","PFD069C.Count","PFD069C.Cumulative","PFD069C.Skip.to.Item"
"60 to 9125","Range of Values",38,38,NA
"66666","Since Birth",1,39,NA
"77777","Refused",0,39,NA
"99999","Don't know",0,39,NA
".","Missing",10431,10470,NA
