"DR1STY.Code.or.Value","DR1STY.Value.Description","DR1STY.Count","DR1STY.Cumulative","DR1STY.Skip.to.Item"
"1","Yes",1175,1175,""
"2","No",6498,7673,"DRQSDIET"
"9","Don't know",55,7728,"DRQSDIET"
".","Missing",976,8704,""
