"DR2TACAR.Code.or.Value","DR2TACAR.Value.Description","DR2TACAR.Count","DR2TACAR.Cumulative","DR2TACAR.Skip.to.Item"
"0 to 14781","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
