"AUXU500L.Code.or.Value","AUXU500L.Value.Description","AUXU500L.Count","AUXU500L.Cumulative","AUXU500L.Skip.to.Item"
"-10 to 80","Range of Values",1139,1139,NA
"666","No response",0,1139,NA
"888","Could not obtain",4,1143,NA
".","Missing",67,1210,NA
