"DR1TSUGR.Code.or.Value","DR1TSUGR.Value.Description","DR1TSUGR.Count","DR1TSUGR.Cumulative","DR1TSUGR.Skip.to.Item"
"0 to 931.16","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
