"WBXF057.Code.or.Value","WBXF057.Value.Description","WBXF057.Count","WBXF057.Cumulative","WBXF057.Skip.to.Item"
"1887.7486 to 1887.7486","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
