"URXDEA.Code.or.Value","URXDEA.Value.Description","URXDEA.Count","URXDEA.Cumulative","URXDEA.Skip.to.Item"
"0.6569 to 5760","Range of Values",2538,2538,NA
".","Missing",156,2694,NA
