"CIQGPF.Code.or.Value","CIQGPF.Value.Description","CIQGPF.Count","CIQGPF.Cumulative","CIQGPF.Skip.to.Item"
"1","Yes",2,2,"CIDGPRB"
"2","No",1,3,"CIDGPRB"
"7","Refused",0,3,"CIDGPRB"
"9","Don't know",0,3,"CIDGPRB"
".","Missing",847,850,""
