"URXUCD.Code.or.Value","URXUCD.Value.Description","URXUCD.Count","URXUCD.Cumulative","URXUCD.Skip.to.Item"
"0.03 to 8.35","Range of Values",2848,2848,NA
".","Missing",93,2941,NA
