"URXOP3.Code.or.Value","URXOP3.Value.Description","URXOP3.Count","URXOP3.Cumulative","URXOP3.Skip.to.Item"
"0.3889 to 444.95","Range of Values",2591,2591,NA
".","Missing",103,2694,NA
