"DRD350G.Code.or.Value","DRD350G.Value.Description","DRD350G.Count","DRD350G.Cumulative","DRD350G.Skip.to.Item"
"1","Yes",488,488,""
"2","No",3721,4209,"DRD350H"
".","Missing",5741,9950,""
