"DSQIPROT.Code.or.Value","DSQIPROT.Value.Description","DSQIPROT.Count","DSQIPROT.Cumulative","DSQIPROT.Skip.to.Item"
"0.09 to 120","Range of Values",226,226,NA
".","Missing",8174,8400,NA
