"WBXF052.Code.or.Value","WBXF052.Value.Description","WBXF052.Count","WBXF052.Cumulative","WBXF052.Skip.to.Item"
"1633.9155 to 1633.9155","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
