"BPQ090A.Code.or.Value","BPQ090A.Value.Description","BPQ090A.Count","BPQ090A.Cumulative","BPQ090A.Skip.to.Item"
"1","Yes",971,971,NA
"2","No",192,1163,NA
"7","Refused",0,1163,NA
"9","Don't know",3,1166,NA
".","Missing",4878,6044,NA
