"URXUP8.Code.or.Value","URXUP8.Value.Description","URXUP8.Count","URXUP8.Cumulative","URXUP8.Skip.to.Item"
"0.0354 to 240","Range of Values",2467,2467,NA
".","Missing",127,2594,NA
