"DR2IS040.Code.or.Value","DR2IS040.Value.Description","DR2IS040.Count","DR2IS040.Cumulative","DR2IS040.Skip.to.Item"
"0 to 3.83","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
