"URX1DC.Code.or.Value","URX1DC.Value.Description","URX1DC.Count","URX1DC.Cumulative","URX1DC.Skip.to.Item"
"8.9 to 13.6","Range of Values",2347,2347,NA
".","Missing",258,2605,NA
