"DR2IMOIS.Code.or.Value","DR2IMOIS.Value.Description","DR2IMOIS.Count","DR2IMOIS.Cumulative","DR2IMOIS.Skip.to.Item"
"0 to 8886.5","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
