"SXD510.Code.or.Value","SXD510.Value.Description","SXD510.Count","SXD510.Cumulative","SXD510.Skip.to.Item"
"0 to 69","Range of Values",1690,1690,NA
"77777","Refused",2,1692,NA
"99999","Don't know",2,1694,NA
".","Missing",3102,4796,NA
