"LBXVFN.Code.or.Value","LBXVFN.Value.Description","LBXVFN.Count","LBXVFN.Cumulative","LBXVFN.Skip.to.Item"
"0.0177 to 0.287","Range of Values",2758,2758,NA
".","Missing",657,3415,NA
