"DR2TM221.Code.or.Value","DR2TM221.Value.Description","DR2TM221.Count","DR2TM221.Cumulative","DR2TM221.Skip.to.Item"
"0 to 4.228","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
