"DR1TVB6.Code.or.Value","DR1TVB6.Value.Description","DR1TVB6.Count","DR1TVB6.Cumulative","DR1TVB6.Skip.to.Item"
"0 to 40.357","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
