"LBDF06LC.Code.or.Value","LBDF06LC.Value.Description","LBDF06LC.Count","LBDF06LC.Cumulative","LBDF06LC.Skip.to.Item"
"0","detectable result",5,5,NA
"1","below detectable limit",1859,1864,NA
".","Missing",421,2285,NA
