"FSD032A.Code.or.Value","FSD032A.Value.Description","FSD032A.Count","FSD032A.Cumulative","FSD032A.Skip.to.Item"
"1","Often true",1142,1142,NA
"2","Sometimes true",2320,3462,NA
"3","Never true",6162,9624,NA
"7","Refused",22,9646,NA
"9","Don't know",3,9649,NA
".","Missing",322,9971,NA
