"URXUTL.Code.or.Value","URXUTL.Value.Description","URXUTL.Count","URXUTL.Cumulative","URXUTL.Skip.to.Item"
"0.02 to 1.41","Range of Values",2539,2539,NA
"0.011","Fill Value of Limit of Detection",19,2558,NA
".","Missing",115,2673,NA
