"URDATZLC.Code.or.Value","URDATZLC.Value.Description","URDATZLC.Count","URDATZLC.Cumulative","URDATZLC.Skip.to.Item"
"0","detectable result",98,98,NA
"1","below detectable limit",1780,1878,NA
".","Missing",247,2125,NA
