"DR1IP225.Code.or.Value","DR1IP225.Value.Description","DR1IP225.Count","DR1IP225.Cumulative","DR1IP225.Skip.to.Item"
"0 to 0.616","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
