"LBXVME.Code.or.Value","LBXVME.Value.Description","LBXVME.Count","LBXVME.Cumulative","LBXVME.Skip.to.Item"
"0.99 to 448","Range of Values",3247,3247,NA
".","Missing",498,3745,NA
