"DXDRLPF.Code.or.Value","DXDRLPF.Value.Description","DXDRLPF.Count","DXDRLPF.Cumulative","DXDRLPF.Skip.to.Item"
"11.8 to 61","Range of Values",5296,5296,NA
".","Missing",737,6033,NA
